종목코드,현재가,거래량,거래량비율,5MA,20MA,60MA,120MA,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,52주최고가,52주최저가
7203,3408.0,28198100,175.07,3331.2,3465.1,3539.32,3319.07,43.2,-72.05,-67.46,3818.39,3111.81,3944.0,2232.15
6758,3209.0,24050400,174.39,3223.4,3367.15,3555.17,3947.18,29.31,-78.81,-69.46,3613.28,3121.02,4700.0,3000.11
8306,2715.0,44413200,159.02,2667.5,2706.58,2779.43,2578.85,46.79,-37.83,-43.06,2875.09,2538.06,3085.0,1473.64
6861,57330.0,796500,162.62,57178.0,60042.9,58744.99,57544.71,38.51,-587.6,-101.3,64906.75,55179.06,66839.7,50110.86
9983,61780.0,1102700,123.06,61948.0,64290.5,62939.3,58514.76,35.22,-643.41,-171.61,68148.66,60432.34,69030.0,41255.98
7974,9215.0,9073300,128.21,9120.2,9271.3,9553.25,11100.67,58.25,4.28,38.18,10429.9,8112.7,14607.65,8350.0
9984,3946.0,66029500,93.9,3722.8,3754.25,4108.1,4594.28,50.49,-102.47,-143.24,4128.86,3379.64,6828.75,1457.05
8035,39290.0,3646500,132.74,39522.0,40353.5,40615.5,36006.79,41.57,-535.76,-485.25,43630.6,37076.4,46230.0,16890.33
4063,6140.0,10144400,143.37,6171.6,6252.7,5667.9,5219.07,47.64,141.02,192.63,6652.96,5852.44,6720.0,3509.83
8058,5762.0,15552800,179.88,5534.2,5298.35,4634.3,4138.01,66.02,218.83,199.56,5764.38,4832.32,5762.0,2298.47
6501,4716.0,13897900,115.05,4797.2,4857.55,5072.67,4918.52,44.03,-73.63,-74.77,5093.03,4622.07,5818.0,2677.77
8316,5246.0,17031800,132.27,5192.0,5300.4,5478.72,4946.08,43.79,-107.95,-115.41,5771.7,4829.1,6204.0,2816.75
8001,2062.5,19414700,154.67,2038.4,2084.25,2074.18,1940.47,47.81,-16.82,-13.18,2225.24,1943.26,2270.0,1193.78
9432,159.0,275429900,169.47,157.74,155.13,155.57,155.33,77.62,1.26,0.78,160.63,149.62,162.74,136.59
4568,2930.0,7712900,71.47,2949.9,2898.42,3059.52,3356.28,54.05,-13.08,-27.7,3046.83,2750.02,4174.0,2773.5
6902,1953.5,7382700,133.4,1918.2,2007.68,2124.26,2130.56,39.53,-62.25,-60.97,2217.07,1798.28,2315.0,1613.59
6098,6519.0,5746700,140.17,6436.8,6597.55,7538.75,7782.08,33.22,-184.07,-224.81,6982.85,6212.25,9363.0,6114.0
8031,6540.0,10752100,165.9,6240.8,6038.2,5445.8,4730.54,60.33,231.16,210.29,6589.19,5487.21,6659.0,2434.4
7267,1340.0,31133700,184.31,1311.7,1403.4,1523.05,1539.72,26.98,-62.96,-59.68,1579.83,1226.97,1692.0,1179.44
4519,8540.0,2409500,153.44,8324.8,9224.65,8951.37,8234.18,30.88,-252.44,-119.14,10555.03,7894.27,10455.0,5905.93
6981,3745.0,8163200,123.34,3635.8,3730.2,3490.18,3294.76,48.78,27.54,45.51,4044.45,3415.95,4223.0,1843.58
8766,7511.0,12118700,53.61,7133.8,6345.7,6123.78,5992.48,71.01,294.41,111.88,7573.08,5118.32,7857.0,4426.32
8053,5991.0,4219000,186.38,5776.8,5877.1,6051.17,5409.05,52.89,-95.74,-120.3,6519.57,5234.63,6739.0,2819.77
7741,27280.0,1324700,149.03,27858.0,27835.5,26651.33,24986.12,41.01,162.76,243.78,28745.9,26925.1,29205.0,14440.97
6594,2080.0,5351000,122.73,2145.2,2255.45,2254.05,2235.52,34.56,-45.93,-25.2,2446.71,2064.19,3275.0,1880.5
3382,2126.5,7161200,148.61,2077.2,2070.48,2179.41,2106.6,59.12,-24.33,-36.22,2162.09,1978.86,2348.19,1804.26
4502,5840.0,5940800,162.69,5737.8,5728.8,5431.97,4903.09,56.84,67.23,75.99,5900.66,5556.94,5870.0,3844.38
8411,6379.0,9881900,143.77,6251.2,6344.9,6603.88,5901.53,46.03,-132.56,-157.09,6903.39,5786.41,7867.0,2883.3
9022,4221.0,2516000,146.74,4200.2,4339.5,4413.12,4318.7,44.7,-77.45,-67.48,4636.39,4042.61,4805.0,2779.04
4901,3012.0,4943200,162.96,2965.0,3018.62,3140.45,3295.3,50.92,-34.72,-39.45,3177.45,2859.8,3770.0,2569.14
