종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
1301,5170,0.19,5161,201,50.0,5.31
1332,1384,0.25,1407,159,43.24,9.99
1333,1502,0.67,1494,172,48.59,3.54
1375,1074,-0.46,1076,172,51.02,2.14
1377,4315,-0.23,4302,89,55.73,3.64
1379,1967,0.72,1948,179,48.37,2.62
1407,1716,0.0,1723,78,55.2,13.16
1414,1416,0.35,1409,101,52.14,3.9
1417,3684,-0.46,3718,148,48.2,4.61
1419,4045,0.62,3961,105,63.33,4.4
1435,194,4.3,193,106,46.39,37.13
1514,1009,17.46,953,104,52.61,28.17
1518,1404,0.57,1412,220,47.4,4.35
1605,4900,4.54,4315,162,78.11,10.79
1662,2664,2.7,2520,91,63.36,17.34
1719,1922,-0.62,1959,161,44.39,3.69
1720,1469,-0.61,1509,157,39.77,12.13
1721,5124,-0.08,5335,152,39.83,6.29
1762,3635,0.55,3718,232,42.56,6.02
1786,379,-0.52,394,97,33.82,4.07
1801,16650,0.06,17652,121,38.62,7.94
1802,3900,-0.48,3954,127,46.31,9.95
1803,2900,-0.99,3128,138,34.74,10.68
1808,2992,-0.37,3092,89,34.42,3.46
1812,6078,0.03,6308,111,42.22,8.47
1813,3125,-0.48,3423,151,30.36,16.57
1815,4710,0.11,4637,245,53.04,7.1
1820,5972,-0.9,6180,111,40.38,5.08
1822,813,0.25,838,176,37.35,4.55
1833,6550,-0.3,6702,222,43.82,4.31
1835,5520,-0.72,5461,101,49.72,6.96
1852,1026,0.39,1043,114,43.91,4.94
1860,1493,-0.47,1537,169,39.78,5.13
1861,1586,-2.4,1709,140,35.13,4.28
1870,2142,0.42,2222,128,38.14,5.58
1871,2854,1.21,2981,200,42.18,6.56
1873,318,0.63,313,148,56.0,2.89
1878,3687,1.91,3609,144,53.12,4.92
1879,1998,0.15,2013,196,47.15,4.79
1882,1795,0.34,1822,116,43.58,4.02
1885,3285,-0.45,3462,88,40.33,15.09
1887,588,-0.84,623,114,34.64,15.98
1893,1760,-1.15,1856,108,39.64,10.98
1898,1580,0.77,1597,141,46.45,2.81
1911,1430,-0.03,1493,112,32.8,8.17
1925,5040,-0.3,5260,139,25.21,2.43
1928,3551,0.2,3583,175,48.09,2.36
1941,4675,-0.32,4728,119,48.16,4.39
1942,6216,-1.43,6307,141,46.04,7.88
1944,7269,-1.58,7653,122,38.93,8.21
1945,1815,0.67,1818,121,48.46,9.95
1946,2057,0.0,2099,103,44.9,4.84
1951,2743,-0.13,2769,120,46.89,6.97
1959,9710,-1.26,9770,113,47.58,8.15
1961,6970,0.0,6982,88,45.34,8.83
1963,2195,1.15,2198,103,49.27,9.86
1964,4445,0.79,4614,157,41.93,7.48
1968,3105,-1.27,2967,116,62.11,9.3
1969,4582,-0.99,4811,145,36.84,7.77
1975,3675,-0.68,3977,155,35.98,9.77
1976,1825,-0.6,1875,202,44.06,5.12
1979,3400,-1.02,3550,138,38.57,5.46
1980,2834,-1.87,3099,156,36.61,8.5
1982,2915,1.04,2995,152,42.57,17.86
2001,2768,0.4,2756,188,51.16,2.72
2002,2109,0.5,2088,157,49.92,3.44
2003,1877,1.62,1792,224,72.41,3.4
2004,3315,-0.15,3309,171,47.87,3.86
2053,1792,0.11,1830,135,41.16,7.5
2108,4330,1.05,4251,962,52.69,9.51
2109,3460,0.73,3428,185,53.93,2.79
2121,2605,0.23,2631,173,45.45,2.03
2124,863,1.41,869,135,43.09,3.36
2127,650,0.48,652,107,46.58,4.57
2146,203,1.5,201,91,42.11,5.32
2148,1879,-0.05,1891,111,48.17,3.66
2154,1793,0.96,1799,189,38.78,5.62
2157,1086,0.18,1084,113,48.34,4.88
2158,819,2.25,849,130,38.94,6.1
2168,1883,0.27,1943,157,35.12,5.33
2169,1820,-0.22,1829,44,34.69,1.79
2170,544,2.26,546,144,44.96,8.38
2175,1683,1.51,1688,143,41.81,19.48
2181,233,1.44,236,137,34.93,3.02
2193,145,-8.81,150,283,49.09,11.11
2201,2735,1.18,2720,179,45.01,3.26
2204,3400,-0.44,3318,101,60.0,4.54
